SNo,County or equivalent,State or district
199,Imperial County,California
200,Inyo County,California
201,Kern County,California
202,Kings County,California
203,Lake County,California
204,Lassen County,California
205,Los Angeles County,California
206,Madera County,California
207,Marin County,California
208,Mariposa County,California
209,Mendocino County,California
210,Merced County,California
211,Modoc County,California
212,Mono County,California
213,Monterey County,California
214,Napa County,California
215,Nevada County,California
216,Orange County,California
217,Placer County,California
218,Plumas County,California
219,Riverside County,California
220,Sacramento County,California
221,San Benito County,California
222,San Bernardino County,California
223,San Diego County,California
224,"San Francisco, City and County of",California
225,San Joaquin County,California
226,San Luis Obispo County,California
227,San Mateo County,California
228,Santa Barbara County,California
229,Santa Clara County,California
230,Santa Cruz County,California
231,Shasta County,California
232,Sierra County,California
233,Siskiyou County,California
234,Solano County,California
235,Sonoma County,California
236,Stanislaus County,California
237,Sutter County,California
238,Tehama County,California
239,Trinity County,California
240,Tulare County,California
241,Tuolumne County,California
242,Ventura County,California
243,Yolo County,California
244,Yuba County,California
245,Adams County,Colorado
246,Alamosa County,Colorado
247,Arapahoe County,Colorado
248,Archuleta County,Colorado
249,Baca County,Colorado
250,Bent County,Colorado
251,Boulder County,Colorado
252,"Broomfield, City and County of",Colorado
253,Chaffee County,Colorado
254,Cheyenne County,Colorado
255,Clear Creek County,Colorado
256,Conejos County,Colorado
257,Costilla County,Colorado
258,Crowley County,Colorado
259,Custer County,Colorado
260,Delta County,Colorado
261,"Denver, City and County of",Colorado
262,Dolores County,Colorado
263,Douglas County,Colorado
264,Eagle County,Colorado
265,Elbert County,Colorado
266,El Paso County,Colorado
267,Fremont County,Colorado
268,Garfield County,Colorado
269,Gilpin County,Colorado
270,Grand County,Colorado
271,Gunnison County,Colorado
272,Hinsdale County,Colorado
273,Huerfano County,Colorado
274,Jackson County,Colorado
275,Jefferson County,Colorado
276,Kiowa County,Colorado
277,Kit Carson County,Colorado
278,Lake County,Colorado
279,La Plata County,Colorado
280,Larimer County,Colorado
281,Las Animas County,Colorado
282,Lincoln County,Colorado
283,Logan County,Colorado
284,Mesa County,Colorado
285,Mineral County,Colorado
286,Moffat County,Colorado
287,Montezuma County,Colorado
288,Montrose County,Colorado
289,Morgan County,Colorado
290,Otero County,Colorado
291,Ouray County,Colorado
292,Park County,Colorado
293,Phillips County,Colorado
294,Pitkin County,Colorado
295,Prowers County,Colorado
296,Pueblo County,Colorado
297,Rio Blanco County,Colorado
298,Rio Grande County,Colorado
299,Routt County,Colorado
300,Saguache County,Colorado
301,San Juan County,Colorado
302,San Miguel County,Colorado
303,Sedgwick County,Colorado
304,Summit County,Colorado
305,Teller County,Colorado
306,Washington County,Colorado
307,Weld County,Colorado
308,Yuma County,Colorado
309,Fairfield County,Connecticut
310,Hartford County,Connecticut
311,Litchfield County,Connecticut
312,Middlesex County,Connecticut
313,New Haven County,Connecticut
314,New London County,Connecticut
315,Tolland County,Connecticut
316,Windham County,Connecticut
317,Kent County,Delaware
318,New Castle County,Delaware
319,Sussex County,Delaware
320,District of Columbia,District of Columbia
321,Alachua County,Florida
322,Baker County,Florida
323,Bay County,Florida
324,Bradford County,Florida
325,Brevard County,Florida
326,Broward County,Florida
327,Calhoun County,Florida
328,Charlotte County,Florida
329,Citrus County,Florida
330,Clay County,Florida
331,Collier County,Florida
332,Columbia County,Florida
333,DeSoto County,Florida
334,Dixie County,Florida
335,Duval County,Florida
336,Escambia County,Florida
337,Flagler County,Florida
338,Franklin County,Florida
339,Gadsden County,Florida
340,Gilchrist County,Florida
341,Glades County,Florida
342,Gulf County,Florida
343,Hamilton County,Florida
344,Hardee County,Florida
345,Hendry County,Florida
346,Hernando County,Florida
347,Highlands County,Florida
348,Hillsborough County,Florida
349,Holmes County,Florida
350,Indian River County,Florida
351,Jackson County,Florida
352,Jefferson County,Florida
353,Lafayette County,Florida
354,Lake County,Florida
355,Lee County,Florida
356,Leon County,Florida
357,Levy County,Florida
358,Liberty County,Florida
359,Madison County,Florida
360,Manatee County,Florida
361,Marion County,Florida
362,Martin County,Florida
363,Miami-Dade County,Florida
364,Monroe County,Florida
365,Nassau County,Florida
366,Okaloosa County,Florida
367,Okeechobee County,Florida
368,Orange County,Florida
369,Osceola County,Florida
370,Palm Beach County,Florida
371,Pasco County,Florida
372,Pinellas County,Florida
373,Polk County,Florida
374,Putnam County,Florida
375,St. Johns County,Florida
376,St. Lucie County,Florida
377,Santa Rosa County,Florida
378,Sarasota County,Florida
379,Seminole County,Florida
380,Sumter County,Florida
381,Suwannee County,Florida
382,Taylor County,Florida
383,Union County,Florida
384,Volusia County,Florida
385,Wakulla County,Florida
386,Walton County,Florida
387,Washington County,Florida
388,Appling County,Georgia
389,Atkinson County,Georgia
390,Bacon County,Georgia
391,Baker County,Georgia
392,Baldwin County,Georgia
393,Banks County,Georgia
394,Barrow County,Georgia
395,Bartow County,Georgia
396,Ben Hill County,Georgia
397,Berrien County,Georgia
398,Bibb County,Georgia
399,Bleckley County,Georgia
400,Brantley County,Georgia
401,Brooks County,Georgia
402,Bryan County,Georgia
403,Bulloch County,Georgia
404,Burke County,Georgia
405,Butts County,Georgia
406,Calhoun County,Georgia
407,Camden County,Georgia
408,Candler County,Georgia
409,Carroll County,Georgia
410,Catoosa County,Georgia
411,Charlton County,Georgia
412,Chatham County,Georgia
413,Chattahoochee County,Georgia
414,Chattooga County,Georgia
415,Cherokee County,Georgia
416,Clarke County,Georgia
417,Clay County,Georgia
418,Clayton County,Georgia
419,Clinch County,Georgia
420,Cobb County,Georgia
421,Coffee County,Georgia
422,Colquitt County,Georgia
423,Columbia County,Georgia
424,Cook County,Georgia
425,Coweta County,Georgia
426,Crawford County,Georgia
427,Crisp County,Georgia
428,Dade County,Georgia
429,Dawson County,Georgia
430,Decatur County,Georgia
431,DeKalb County,Georgia
432,Dodge County,Georgia
433,Dooly County,Georgia
434,Dougherty County,Georgia
435,Douglas County,Georgia
436,Early County,Georgia
437,Echols County,Georgia
438,Effingham County,Georgia
439,Elbert County,Georgia
440,Emanuel County,Georgia
441,Evans County,Georgia
442,Fannin County,Georgia
443,Fayette County,Georgia
444,Floyd County,Georgia
445,Forsyth County,Georgia
446,Franklin County,Georgia
447,Fulton County,Georgia
448,Gilmer County,Georgia
449,Glascock County,Georgia
450,Glynn County,Georgia
451,Gordon County,Georgia
452,Grady County,Georgia
453,Greene County,Georgia
454,Gwinnett County,Georgia
455,Habersham County,Georgia
456,Hall County,Georgia
457,Hancock County,Georgia
458,Haralson County,Georgia
459,Harris County,Georgia
460,Hart County,Georgia
461,Heard County,Georgia
462,Henry County,Georgia
463,Houston County,Georgia
464,Irwin County,Georgia
465,Jackson County,Georgia
466,Jasper County,Georgia
467,Jeff Davis County,Georgia
468,Jefferson County,Georgia
469,Jenkins County,Georgia
470,Johnson County,Georgia
471,Jones County,Georgia
472,Lamar County,Georgia
473,Lanier County,Georgia
474,Laurens County,Georgia
475,Lee County,Georgia
476,Liberty County,Georgia
477,Lincoln County,Georgia
478,Long County,Georgia
479,Lowndes County,Georgia
480,Lumpkin County,Georgia
481,McDuffie County,Georgia
482,McIntosh County,Georgia
483,Macon County,Georgia
484,Madison County,Georgia
485,Marion County,Georgia
486,Meriwether County,Georgia
487,Miller County,Georgia
488,Mitchell County,Georgia
489,Monroe County,Georgia
490,Montgomery County,Georgia
491,Morgan County,Georgia
492,Murray County,Georgia
493,Muscogee County,Georgia
494,Newton County,Georgia
495,Oconee County,Georgia
496,Oglethorpe County,Georgia
497,Paulding County,Georgia
498,Peach County,Georgia
499,Pickens County,Georgia
500,Pierce County,Georgia
501,Pike County,Georgia
502,Polk County,Georgia
503,Pulaski County,Georgia
504,Putnam County,Georgia
505,Quitman County,Georgia
506,Rabun County,Georgia
507,Randolph County,Georgia
508,Richmond County,Georgia
509,Rockdale County,Georgia
510,Schley County,Georgia
511,Screven County,Georgia
512,Seminole County,Georgia
513,Spalding County,Georgia
514,Stephens County,Georgia
515,Stewart County,Georgia
516,Sumter County,Georgia
517,Talbot County,Georgia
518,Taliaferro County,Georgia
519,Tattnall County,Georgia
520,Taylor County,Georgia
521,Telfair County,Georgia
522,Terrell County,Georgia
523,Thomas County,Georgia
524,Tift County,Georgia
525,Toombs County,Georgia
526,Towns County,Georgia
527,Treutlen County,Georgia
528,Troup County,Georgia
529,Turner County,Georgia
530,Twiggs County,Georgia
531,Union County,Georgia
532,Upson County,Georgia
533,Walker County,Georgia
534,Walton County,Georgia
535,Ware County,Georgia
536,Warren County,Georgia
537,Washington County,Georgia
538,Wayne County,Georgia
539,Webster County,Georgia
540,Wheeler County,Georgia
541,White County,Georgia
542,Whitfield County,Georgia
543,Wilcox County,Georgia
544,Wilkes County,Georgia
545,Wilkinson County,Georgia
546,Worth County,Georgia
547,Hawaii County,Hawai?i
548,"Honolulu, City and County of",Hawai?i
549,Kalawao County,Hawai?i
550,Kauai County,Hawai?i
551,Maui County,Hawai?i
552,Ada County,Idaho
553,Adams County,Idaho
554,Bannock County,Idaho
555,Bear Lake County,Idaho
556,Benewah County,Idaho
557,Bingham County,Idaho
558,Blaine County,Idaho
559,Boise County,Idaho
560,Bonner County,Idaho
561,Bonneville County,Idaho
562,Boundary County,Idaho
563,Butte County,Idaho
564,Camas County,Idaho
565,Canyon County,Idaho
566,Caribou County,Idaho
567,Cassia County,Idaho
568,Clark County,Idaho
569,Clearwater County,Idaho
570,Custer County,Idaho
571,Elmore County,Idaho
572,Franklin County,Idaho
573,Fremont County,Idaho
574,Gem County,Idaho
575,Gooding County,Idaho
576,Idaho County,Idaho
577,Jefferson County,Idaho
578,Jerome County,Idaho
579,Kootenai County,Idaho
580,Latah County,Idaho
581,Lemhi County,Idaho
582,Lewis County,Idaho
583,Lincoln County,Idaho
584,Madison County,Idaho
585,Minidoka County,Idaho
586,Nez Perce County,Idaho
587,Oneida County,Idaho
588,Owyhee County,Idaho
589,Payette County,Idaho
590,Power County,Idaho
591,Shoshone County,Idaho
592,Teton County,Idaho
593,Twin Falls County,Idaho
594,Valley County,Idaho
595,Washington County,Idaho
596,Adams County,Illinois
597,Alexander County,Illinois
598,Bond County,Illinois
599,Boone County,Illinois
600,Brown County,Illinois
601,Bureau County,Illinois
602,Calhoun County,Illinois
603,Carroll County,Illinois
604,Cass County,Illinois
605,Champaign County,Illinois
606,Christian County,Illinois
607,Clark County,Illinois
608,Clay County,Illinois
609,Clinton County,Illinois
610,Coles County,Illinois
611,Cook County,Illinois
612,Crawford County,Illinois
613,Cumberland County,Illinois
614,DeKalb County,Illinois
615,De Witt County,Illinois
616,Douglas County,Illinois
617,DuPage County,Illinois
618,Edgar County,Illinois
619,Edwards County,Illinois
620,Effingham County,Illinois
621,Fayette County,Illinois
622,Ford County,Illinois
623,Franklin County,Illinois
624,Fulton County,Illinois
625,Gallatin County,Illinois
626,Greene County,Illinois
627,Grundy County,Illinois
628,Hamilton County,Illinois
629,Hancock County,Illinois
630,Hardin County,Illinois
631,Henderson County,Illinois
632,Henry County,Illinois
633,Iroquois County,Illinois
634,Jackson County,Illinois
635,Jasper County,Illinois
636,Jefferson County,Illinois
637,Jersey County,Illinois
638,Jo Daviess County,Illinois
639,Johnson County,Illinois
640,Kane County,Illinois
641,Kankakee County,Illinois
642,Kendall County,Illinois
643,Knox County,Illinois
644,Lake County,Illinois
645,LaSalle County,Illinois
646,Lawrence County,Illinois
647,Lee County,Illinois
648,Livingston County,Illinois
649,Logan County,Illinois
650,McDonough County,Illinois
651,McHenry County,Illinois
652,McLean County,Illinois
653,Macon County,Illinois
654,Macoupin County,Illinois
655,Madison County,Illinois
656,Marion County,Illinois
657,Marshall County,Illinois
658,Mason County,Illinois
659,Massac County,Illinois
660,Menard County,Illinois
661,Mercer County,Illinois
662,Monroe County,Illinois
663,Montgomery County,Illinois
664,Morgan County,Illinois
665,Moultrie County,Illinois
666,Ogle County,Illinois
667,Peoria County,Illinois
668,Perry County,Illinois
669,Piatt County,Illinois
670,Pike County,Illinois
671,Pope County,Illinois
672,Pulaski County,Illinois
673,Putnam County,Illinois
674,Randolph County,Illinois
675,Richland County,Illinois
676,Rock Island County,Illinois
677,St. Clair County,Illinois
678,Saline County,Illinois
679,Sangamon County,Illinois
680,Schuyler County,Illinois
681,Scott County,Illinois
682,Shelby County,Illinois
683,Stark County,Illinois
684,Stephenson County,Illinois
685,Tazewell County,Illinois
686,Union County,Illinois
687,Vermilion County,Illinois
688,Wabash County,Illinois
689,Warren County,Illinois
690,Washington County,Illinois
691,Wayne County,Illinois
692,White County,Illinois
693,Whiteside County,Illinois
694,Will County,Illinois
695,Williamson County,Illinois
696,Winnebago County,Illinois
697,Woodford County,Illinois
698,Adams County,Indiana
699,Allen County,Indiana
700,Bartholomew County,Indiana
701,Benton County,Indiana
702,Blackford County,Indiana
703,Boone County,Indiana
704,Brown County,Indiana
705,Carroll County,Indiana
706,Cass County,Indiana
707,Clark County,Indiana
708,Clay County,Indiana
709,Clinton County,Indiana
710,Crawford County,Indiana
711,Daviess County,Indiana
712,Dearborn County,Indiana
713,Decatur County,Indiana
714,DeKalb County,Indiana
715,Delaware County,Indiana
716,Dubois County,Indiana
717,Elkhart County,Indiana
718,Fayette County,Indiana
719,Floyd County,Indiana
720,Fountain County,Indiana
721,Franklin County,Indiana
722,Fulton County,Indiana
723,Gibson County,Indiana
724,Grant County,Indiana
725,Greene County,Indiana
726,Hamilton County,Indiana
727,Hancock County,Indiana
728,Harrison County,Indiana
729,Hendricks County,Indiana
730,Henry County,Indiana
731,Howard County,Indiana
732,Huntington County,Indiana
733,Jackson County,Indiana
734,Jasper County,Indiana
735,Jay County,Indiana
736,Jefferson County,Indiana
737,Jennings County,Indiana
738,Johnson County,Indiana
739,Knox County,Indiana
740,Kosciusko County,Indiana
741,LaGrange County,Indiana
742,Lake County,Indiana
743,LaPorte County,Indiana
744,Lawrence County,Indiana
745,Madison County,Indiana
746,Marion County,Indiana
747,Marshall County,Indiana
748,Martin County,Indiana
749,Miami County,Indiana
750,Monroe County,Indiana
751,Montgomery County,Indiana
752,Morgan County,Indiana
753,Newton County,Indiana
754,Noble County,Indiana
755,Ohio County,Indiana
756,Orange County,Indiana
757,Owen County,Indiana
758,Parke County,Indiana
759,Perry County,Indiana
760,Pike County,Indiana
761,Porter County,Indiana
762,Posey County,Indiana
763,Pulaski County,Indiana
764,Putnam County,Indiana
765,Randolph County,Indiana
766,Ripley County,Indiana
767,Rush County,Indiana
768,St. Joseph County,Indiana
769,Scott County,Indiana
770,Shelby County,Indiana
771,Spencer County,Indiana
772,Starke County,Indiana
773,Steuben County,Indiana
774,Sullivan County,Indiana
775,Switzerland County,Indiana
776,Tippecanoe County,Indiana
777,Tipton County,Indiana
778,Union County,Indiana
779,Vanderburgh County,Indiana
780,Vermillion County,Indiana
781,Vigo County,Indiana
782,Wabash County,Indiana
783,Warren County,Indiana
784,Warrick County,Indiana
785,Washington County,Indiana
786,Wayne County,Indiana
787,Wells County,Indiana
788,White County,Indiana
789,Whitley County,Indiana
790,Adair County,Iowa
791,Adams County,Iowa
792,Allamakee County,Iowa
793,Appanoose County,Iowa
794,Audubon County,Iowa
795,Benton County,Iowa
796,Black Hawk County,Iowa
797,Boone County,Iowa
798,Bremer County,Iowa
799,Buchanan County,Iowa
800,Buena Vista County,Iowa
801,Butler County,Iowa
802,Calhoun County,Iowa
803,Carroll County,Iowa
804,Cass County,Iowa
805,Cedar County,Iowa
806,Cerro Gordo County,Iowa
807,Cherokee County,Iowa
808,Chickasaw County,Iowa
809,Clarke County,Iowa
810,Clay County,Iowa
811,Clayton County,Iowa
812,Clinton County,Iowa
813,Crawford County,Iowa
814,Dallas County,Iowa
815,Davis County,Iowa
816,Decatur County,Iowa
817,Delaware County,Iowa
818,Des Moines County,Iowa
819,Dickinson County,Iowa
820,Dubuque County,Iowa
821,Emmet County,Iowa
822,Fayette County,Iowa
823,Floyd County,Iowa
824,Franklin County,Iowa
825,Fremont County,Iowa
826,Greene County,Iowa
827,Grundy County,Iowa
828,Guthrie County,Iowa
829,Hamilton County,Iowa
830,Hancock County,Iowa
831,Hardin County,Iowa
832,Harrison County,Iowa
833,Henry County,Iowa
834,Howard County,Iowa
835,Humboldt County,Iowa
836,Ida County,Iowa
837,Iowa County,Iowa
838,Jackson County,Iowa
839,Jasper County,Iowa
840,Jefferson County,Iowa
841,Johnson County,Iowa
842,Jones County,Iowa
843,Keokuk County,Iowa
844,Kossuth County,Iowa
845,Lee County,Iowa
846,Linn County,Iowa
847,Louisa County,Iowa
848,Lucas County,Iowa
849,Lyon County,Iowa
850,Madison County,Iowa
851,Mahaska County,Iowa
852,Marion County,Iowa
853,Marshall County,Iowa
854,Mills County,Iowa
855,Mitchell County,Iowa
856,Monona County,Iowa
857,Monroe County,Iowa
858,Montgomery County,Iowa
859,Muscatine County,Iowa
860,O'Brien County,Iowa
861,Osceola County,Iowa
862,Page County,Iowa
863,Palo Alto County,Iowa
864,Plymouth County,Iowa
865,Pocahontas County,Iowa
866,Polk County,Iowa
867,Pottawattamie County,Iowa
868,Poweshiek County,Iowa
869,Ringgold County,Iowa
870,Sac County,Iowa
871,Scott County,Iowa
872,Shelby County,Iowa
873,Sioux County,Iowa
874,Story County,Iowa
875,Tama County,Iowa
876,Taylor County,Iowa
877,Union County,Iowa
878,Van Buren County,Iowa
879,Wapello County,Iowa
880,Warren County,Iowa
881,Washington County,Iowa
882,Wayne County,Iowa
883,Webster County,Iowa
884,Winnebago County,Iowa
885,Winneshiek County,Iowa
886,Woodbury County,Iowa
887,Worth County,Iowa
888,Wright County,Iowa
889,Allen County,Kansas
890,Anderson County,Kansas
891,Atchison County,Kansas
892,Barber County,Kansas
893,Barton County,Kansas
894,Bourbon County,Kansas
895,Brown County,Kansas
896,Butler County,Kansas
897,Chase County,Kansas
898,Chautauqua County,Kansas
899,Cherokee County,Kansas
900,Cheyenne County,Kansas
901,Clark County,Kansas
902,Clay County,Kansas
903,Cloud County,Kansas
904,Coffey County,Kansas
905,Comanche County,Kansas
906,Cowley County,Kansas
907,Crawford County,Kansas
908,Decatur County,Kansas
909,Dickinson County,Kansas
910,Doniphan County,Kansas
911,Douglas County,Kansas
912,Edwards County,Kansas
913,Elk County,Kansas
914,Ellis County,Kansas
915,Ellsworth County,Kansas
916,Finney County,Kansas
917,Ford County,Kansas
918,Franklin County,Kansas
919,Geary County,Kansas
920,Gove County,Kansas
921,Graham County,Kansas
922,Grant County,Kansas
923,Gray County,Kansas
924,Greeley County,Kansas
925,Greenwood County,Kansas
926,Hamilton County,Kansas
927,Harper County,Kansas
928,Harvey County,Kansas
929,Haskell County,Kansas
930,Hodgeman County,Kansas
931,Jackson County,Kansas
932,Jefferson County,Kansas
933,Jewell County,Kansas
934,Johnson County,Kansas
935,Kearny County,Kansas
936,Kingman County,Kansas
937,Kiowa County,Kansas
938,Labette County,Kansas
939,Lane County,Kansas
940,Leavenworth County,Kansas
941,Lincoln County,Kansas
942,Linn County,Kansas
943,Logan County,Kansas
944,Lyon County,Kansas
945,McPherson County,Kansas
946,Marion County,Kansas
947,Marshall County,Kansas
948,Meade County,Kansas
949,Miami County,Kansas
950,Mitchell County,Kansas
951,Montgomery County,Kansas
952,Morris County,Kansas
953,Morton County,Kansas
954,Nemaha County,Kansas
955,Neosho County,Kansas
956,Ness County,Kansas
957,Norton County,Kansas
958,Osage County,Kansas
959,Osborne County,Kansas
960,Ottawa County,Kansas
961,Pawnee County,Kansas
962,Phillips County,Kansas
963,Pottawatomie County,Kansas
964,Pratt County,Kansas
965,Rawlins County,Kansas
966,Reno County,Kansas
967,Republic County,Kansas
968,Rice County,Kansas
969,Riley County,Kansas
970,Rooks County,Kansas
971,Rush County,Kansas
972,Russell County,Kansas
973,Saline County,Kansas
974,Scott County,Kansas
975,Sedgwick County,Kansas
976,Seward County,Kansas
977,Shawnee County,Kansas
978,Sheridan County,Kansas
979,Sherman County,Kansas
980,Smith County,Kansas
981,Stafford County,Kansas
982,Stanton County,Kansas
983,Stevens County,Kansas
984,Sumner County,Kansas
985,Thomas County,Kansas
986,Trego County,Kansas
987,Wabaunsee County,Kansas
988,Wallace County,Kansas
989,Washington County,Kansas
990,Wichita County,Kansas
991,Wilson County,Kansas
992,Woodson County,Kansas
993,Wyandotte County,Kansas
994,Adair County,Kentucky
995,Allen County,Kentucky
996,Anderson County,Kentucky
997,Ballard County,Kentucky
998,Barren County,Kentucky
999,Bath County,Kentucky
1000,Bell County,Kentucky
1001,Boone County,Kentucky
1002,Bourbon County,Kentucky
1003,Boyd County,Kentucky
1004,Boyle County,Kentucky
1005,Bracken County,Kentucky
1006,Breathitt County,Kentucky
1007,Breckinridge County,Kentucky
1008,Bullitt County,Kentucky
1009,Butler County,Kentucky
1010,Caldwell County,Kentucky
1011,Calloway County,Kentucky
1012,Campbell County,Kentucky
1013,Carlisle County,Kentucky
1014,Carroll County,Kentucky
1015,Carter County,Kentucky
1016,Casey County,Kentucky
1017,Christian County,Kentucky
1018,Clark County,Kentucky
1019,Clay County,Kentucky
1020,Clinton County,Kentucky
1021,Crittenden County,Kentucky
1022,Cumberland County,Kentucky
1023,Daviess County,Kentucky
1024,Edmonson County,Kentucky
1025,Elliott County,Kentucky
1026,Estill County,Kentucky
1027,Fayette County,Kentucky
1028,Fleming County,Kentucky
1029,Floyd County,Kentucky
1030,Franklin County,Kentucky
1031,Fulton County,Kentucky
1032,Gallatin County,Kentucky
1033,Garrard County,Kentucky
1034,Grant County,Kentucky
1035,Graves County,Kentucky
1036,Grayson County,Kentucky
1037,Green County,Kentucky
1038,Greenup County,Kentucky
1039,Hancock County,Kentucky
1040,Hardin County,Kentucky
1041,Harlan County,Kentucky
1042,Harrison County,Kentucky
1043,Hart County,Kentucky
1044,Henderson County,Kentucky
1045,Henry County,Kentucky
1046,Hickman County,Kentucky
1047,Hopkins County,Kentucky
1048,Jackson County,Kentucky
1049,Jefferson County,Kentucky
1050,Jessamine County,Kentucky
1051,Johnson County,Kentucky
1052,Kenton County,Kentucky
1053,Knott County,Kentucky
1054,Knox County,Kentucky
1055,Larue County,Kentucky
1056,Laurel County,Kentucky
1057,Lawrence County,Kentucky
1058,Lee County,Kentucky
1059,Leslie County,Kentucky
